round,mlogloss
0,1.3359352801297162
1,1.0736405978331696
2,0.8939390971853927
3,0.765502262759853
4,0.6636601106540577
5,0.5794844305193102
6,0.5162677410486582
7,0.4665162845237835
8,0.42564399822338206
9,0.3924977114877185
10,0.36860907440249985
11,0.3490381706002596
12,0.3211257890672297
13,0.30379309867684906
14,0.2850111102735674
15,0.27262570618374926
16,0.25955193963002515
17,0.25051080264352465
18,0.24184942084389763
19,0.2304495957151458
20,0.2241276001708733
21,0.21497048286570086
22,0.2127647317341856
23,0.20940259617526788
24,0.20242247597087878
25,0.1985849541536457
26,0.19825804840169242
27,0.19264321666009523
28,0.18859812320285552
29,0.18599927401472185
30,0.18403285743064574
31,0.1814796190482338
32,0.17827350423495109
33,0.17773089639691486
34,0.17374299771177606
35,0.1712834939259935
36,0.16737029273566362
37,0.1673971101125652
38,0.16226209459096394
39,0.160592952824978
40,0.15731137303786502
41,0.15528488539889254
42,0.15192911084237937
43,0.14908162833543848
44,0.14865982518657236
45,0.14639128789280517
46,0.1443828890427343
47,0.14212911825224356
48,0.14104825080800298
49,0.13921577490337594
